time,Year,Season,North California (38-42N),Central California (34.5-38N),Southern California (32-34.5N)
1991-01-31,1991,JFM,-1.9891679725371003,-1.819005801013968,-0.9527354901984026
1991-04-30,1991,AMJ,-6.175390897526431,-5.6049012306861465,-4.331639608700721
1991-07-31,1991,JAS,0.2678592493548756,-0.7162593951135755,-2.1730091345777316
1991-10-31,1991,OND,-1.811332439828867,-0.3999205636279848,0.6225558938861353
1992-01-31,1992,JFM,6.105539521123363,6.9965120828065475,4.039614000194215
1992-04-30,1992,AMJ,7.741875498071719,9.086058891337114,3.55356219081813
1992-07-31,1992,JAS,2.6284020795482737,1.1249414406171592,0.7733431927964313
1992-10-31,1992,OND,1.9561418852756687,3.4576577932734396,1.25369913756785
1993-01-31,1993,JFM,3.0418927674036995,4.939304204157295,2.524925054821331
1993-04-30,1993,AMJ,7.596361800955307,4.244018215636832,3.2461656638598453
1993-07-31,1993,JAS,-1.002129648732099,1.665478207547437,0.5772468908450126
1993-10-31,1993,OND,0.37416565641939836,2.147759193076784,0.49703327358909016
1994-01-31,1994,JFM,0.3325174592414428,0.6020069109298076,0.14343112099543215
1994-04-30,1994,AMJ,-0.9840849669052234,-2.05938475030167,-0.6711118950128907
1994-07-31,1994,JAS,-1.445923725739599,-2.6337404506478093,-0.17482098575964783
1994-10-31,1994,OND,-2.4650993570701445,-2.4016702065631477,-0.6510230121483134
1995-01-31,1995,JFM,6.274878203882385,6.329551966870215,1.7916940783472068
1995-04-30,1995,AMJ,1.193974255401937,0.33686197492079845,-1.8126117700078805
1995-07-31,1995,JAS,2.983499404907715,-0.6821747225044058,-0.604957478066057
1995-10-31,1995,OND,0.5427231485806043,-0.8042185565175591,-0.34670455302875114
1996-01-31,1996,JFM,2.1056685876699897,2.7081367389047575,-0.48145956832963444
1996-04-30,1996,AMJ,-0.38041610437903484,-0.6111700734353549,0.3250810371965035
1996-07-31,1996,JAS,-2.4006788877665586,-2.92573823590984,-1.3063618835198074
1996-10-31,1996,OND,0.7827477672352318,-1.2664208900660823,-1.1881278355196203
1997-01-31,1997,JFM,-2.8015636154709216,-3.0554098499493447,-0.7895126085254055
1997-04-30,1997,AMJ,3.904163598589554,1.1878716218107488,4.237323845678209
1997-07-31,1997,JAS,8.462929851044345,6.091012117014052,3.948265203702045
1997-10-31,1997,OND,7.806015424407192,10.182917386213646,5.529402053666088
1998-01-31,1998,JFM,9.95678424312176,9.168236006656919,4.731096822479863
1998-04-30,1998,AMJ,5.074251583568067,6.721749180957032,-0.35252063735134886
1998-07-31,1998,JAS,-2.029247592043906,0.5628524634026228,0.21143174663566044
1998-10-31,1998,OND,-3.2966097023560175,-6.459617233652706,-3.0198740471681305
1999-01-31,1999,JFM,-2.5894016677181018,-5.01751296261006,-3.7742290345198333
1999-04-30,1999,AMJ,-7.920325789739684,-7.066958058716224,-4.009842159604419
1999-07-31,1999,JAS,-2.59735162801701,-3.678932841533946,-3.5742313272575497
1999-10-31,1999,OND,-4.4226420329209235,-5.123877567528485,-3.585186071429472
2000-01-31,2000,JFM,-0.6528976697193286,-1.2538531725849198,-2.644104455535018
2000-04-30,2000,AMJ,1.5018220151663442,0.4175788991041583,0.0915550887308269
2000-07-31,2000,JAS,-3.358311360442948,-3.3749841604303668,-1.5083881777043422
2000-10-31,2000,OND,-3.418155139272276,-4.077441369738527,-2.516970115305872
2001-01-31,2001,JFM,-2.4883476313484603,-1.7159391745425059,-1.5932324440482213
2001-04-30,2001,AMJ,-4.812819194203163,-3.369561733371394,-1.3809688862693994
2001-07-31,2001,JAS,-4.024127537821391,-3.831857470521197,-2.223199219629031
2001-10-31,2001,OND,0.04303130098558236,-1.837317459085912,-1.71222714339428
2002-01-31,2002,JFM,-3.879059366265587,-5.6362180753911355,-2.2596323559131384
2002-04-30,2002,AMJ,-4.716721182694116,-4.598742097031858,-2.424583647121944
2002-07-31,2002,JAS,-1.9964198670132691,-2.339578343371617,-1.1458374792472263
2002-10-31,2002,OND,4.219366290391996,2.2030643467709385,0.5924480777197672
2003-01-31,2003,JFM,1.3977847866677902,1.1401213826776118,1.581502848091792
2003-04-30,2003,AMJ,2.090973024886798,0.819070167711628,-1.6847643693556302
2003-07-31,2003,JAS,-0.24120203144775423,-0.10871533097920943,-0.7737994440847691
2003-10-31,2003,OND,2.3179344968474624,0.08430592973085141,-0.04215292335656751
2004-01-31,2004,JFM,0.052803784687750696,-1.408269094483045,-0.1568842266918056
2004-04-30,2004,AMJ,0.6177696231463599,-1.3947201465725223,0.9651640215335414
2004-07-31,2004,JAS,1.6481939010733777,0.9333224160860641,0.5158643986605115
2004-10-31,2004,OND,-0.3575425451076364,1.5595041279027104,0.2893029696123332
2005-01-31,2005,JFM,3.076777190205778,5.014897993207953,2.6090372032905482
2005-04-30,2005,AMJ,5.27648321686224,2.1258983643454794,0.9302773768763171
2005-07-31,2005,JAS,-1.948885378690662,-1.1102484103988706,-1.1163159911212561
2005-10-31,2005,OND,-0.259145784750751,-1.9232324737612867,-1.5535765233973384
2006-01-31,2006,JFM,0.891701718559805,-0.6568435368716199,-2.3740335729013964
2006-04-30,2006,AMJ,3.1375240443010997,4.533961123739932,1.2915697164494033
2006-07-31,2006,JAS,-2.599744858709399,0.1096757619318548,1.090365274100327
2006-10-31,2006,OND,-0.4302527021199804,-0.6935200359377074,0.19166074334032096
2007-01-31,2007,JFM,-5.803340711126617,-6.282037254512558,-2.254534608399075
2007-04-30,2007,AMJ,-3.6262015536578436,-5.007295225369494,-2.465551764876885
2007-07-31,2007,JAS,1.3650786602390905,-0.945284142095079,-0.6349894349037198
2007-10-31,2007,OND,-4.6041717833554525,-5.966611329735344,-2.9837273685687355
2008-01-31,2008,JFM,-5.456027245865435,-6.186374693699527,-3.1679888483008534
2008-04-30,2008,AMJ,-7.22822856355755,-6.8766836294456075,-1.0722712877599792
2008-07-31,2008,JAS,-0.7161128482388057,0.3791097510158049,0.619518920055352
2008-10-31,2008,OND,-3.5206973846083063,-2.8515835476761717,-1.5934884136090024
2009-01-31,2009,JFM,-4.347993288995178,-3.420675311819528,-2.3774387289577232
2009-04-30,2009,AMJ,-1.552161358014943,-0.8096154954900465,-0.5551933333740535
2009-07-31,2009,JAS,-0.3593462193853466,-1.6611244063993618,0.04786718765871199
2009-10-31,2009,OND,0.35806872958357083,0.1767997486545749,1.5000477965779642
2010-01-31,2010,JFM,5.452316587903358,4.386950522966996,2.709828889548832
2010-04-30,2010,AMJ,-0.7162678528876875,-3.0590268044861366,-2.0778317335606156
2010-07-31,2010,JAS,-3.8418986099379504,-4.644823911116713,-4.502087323382874
2010-10-31,2010,OND,0.39909618433872873,-2.4579346535106956,-2.875804973644979
2011-01-31,2011,JFM,-1.9227683076116422,-2.7723031939747367,-2.7666650665996744
2011-04-30,2011,AMJ,-2.2891328614749225,-2.2414951702680312,-2.2230629986004202
2011-07-31,2011,JAS,-2.141798243081379,-1.8990985590405025,-2.0967645333670824
2011-10-31,2011,OND,-4.698789300786253,-3.424362208901207,-3.3170838372189166
2012-01-31,2012,JFM,-4.159444284250304,-5.527337532963472,-2.328005380757236
2012-04-30,2012,AMJ,-1.6919717609234517,-3.9603414494850204,-0.600215135630956
2012-07-31,2012,JAS,-3.5638229768443925,-4.31385106499518,0.22422090936803946
2012-10-31,2012,OND,3.088712731095462,2.496930349987372,0.20539785141610165
2013-01-31,2013,JFM,-8.47851101392866,-7.762765691404696,-3.1118508622089642
2013-04-30,2013,AMJ,-4.026058802958365,-3.113233272322712,-0.24868233963435687
2013-07-31,2013,JAS,1.0907717990858987,-0.44188846541653154,-1.2599013624420923
2013-10-31,2013,OND,-7.084628488856613,-2.955495402572625,-0.258010165891675
2014-01-31,2014,JFM,-1.546070587758081,0.41944462993623,1.2298993190351777
2014-04-30,2014,AMJ,-0.34870502140682935,1.9419125535570525,2.4960067217322828
2014-07-31,2014,JAS,6.391864827489328,8.67865365548914,3.416137951432779
2014-10-31,2014,OND,8.800727377426862,8.672457669494698,4.051322995898809
2015-01-31,2015,JFM,2.2687990316935824,3.8178859604539035,3.650305502605856
2015-04-30,2015,AMJ,0.9137241700451989,4.006337010512516,3.2783205062101475
2015-07-31,2015,JAS,8.876314354049196,10.966255439804684,5.550183228085488
2015-10-31,2015,OND,4.1584193151022735,5.212474358692901,4.906653751830897
2016-01-31,2016,JFM,4.712050587204263,3.369960628512078,2.9659111591475895
2016-04-30,2016,AMJ,2.0960226855431925,3.2210602763220675,1.724521660229919
2016-07-31,2016,JAS,-2.4691097586358963,-0.6475834610163284,1.313132214302922
2016-10-31,2016,OND,3.939476020093241,1.450065224517822,1.0038902557462714
2017-01-31,2017,JFM,2.7134270248220758,2.134010374185568,0.6216162379946308
2017-04-30,2017,AMJ,2.0536439624843874,1.3762370232689616,1.5859507656839953
2017-07-31,2017,JAS,1.4876999280822714,3.230767859064483,1.9453246491237655
2017-10-31,2017,OND,-1.426010757153634,0.683995360736009,1.5071458033648202
2018-01-31,2018,JFM,-2.0019804535922234,-0.8338363130163837,0.6507768770785713
2018-04-30,2018,AMJ,-0.23279430860880376,-0.16707769472446277,0.28722875031846934
2018-07-31,2018,JAS,-0.7175190608724209,0.2214636788654561,1.893222107424952
2018-10-31,2018,OND,1.1761155537825245,4.268283916710847,2.414419201628866
2019-01-31,2019,JFM,4.110295440162442,4.862737305750813,1.3163387869679453
2019-04-30,2019,AMJ,2.3080638968203577,7.102661339253227,0.7583292765154392
2019-07-31,2019,JAS,1.583435681068914,1.7051321114842415,0.6284352773283942
2019-10-31,2019,OND,1.1033115258559874,2.903842735673934,2.0284641730628987
2020-01-31,2020,JFM,-4.376663118161801,-2.5413750491791074,0.46632935128702147
2020-04-30,2020,AMJ,1.1946268430958211,2.8189301892295555,1.1397949450256202
2020-07-31,2020,JAS,0.6675804974775223,0.2872184691676581,0.3401046235427054
2020-10-31,2020,OND,-3.2709759892363746,-2.856834642560555,-0.9494869952269597
